tournament_id,tournament_en
10001692,Winline Dota 2 Champions League Season 7
10001689,Intel World Open Beijing
10001668,Dota 2 Champions League 2021 Season 6
10001672,Huya Winter Invitational 2021
10001669,OGA Dota PIT EU/CIS Season 5
10001620,Dota 2 Champions League 2021 Season 5
10001623,BTS Pro Series Season 9. America
10001624,BTS Pro Series Season 9. Sea
10001433,The International 10 (2021)
10001603,Dota 2 Champions League 2021 Season 4
10001589,OB.Moon Asian Arena
10001588,BTS Pro Series Season 8. America
10001587,BTS Pro Series Season 8. Sea
10001593,IESF World Championship 2021. Regional Qualifiers
10001607,Dota 2 Showmatch
10001575,Dota 2 Champions League 2021 Season 3
10001586,OGA Dota PIT Invitational
10001574,i-League 2021 Season 2
10001565,ESL One Fall 2021
10001566,LOOT.BET Pro Series Season 7. America
10001564,OGA Dota PIT Season 5. China
10001559,Dota 2 Champions League 2021 Season 2
10001570,PM 1x1 ALL-STAR CUP
10001554,BIX Invitationals Summer
10001490,i-League 2021
10001560,PNXBET Invitationals Southeast Asia Season 2
10001555,Claro Gaming Apu League Season 1
10001545,INVie
10001544,UPEA Ukrainian Cup 2021
10001527,ESL One Summer 2021
10001519,WePlay AniMajor 2021
10001524,BTS Pro Series Season 6. America
10001525,BTS Pro Series Season 6. Sea
10001509,Pinnacle Cup
10001518,Чемпионат России по Dota 2
10001470,Dota Pro Circuit 2021: Season 2 — China 1- Division
10001504,Positive Fire Games
10001492,Dota 2 Champions League 2021 Season 1
10001467,Moon Studio Spring Trophy
10001442,ONE Esports Singapore Major 2021
10001453,BTS Pro Series Season 5. America
10001450,EPIC League Season 3 Division 1
10001446,FMWH Dota2 Championship Season 3
10001415,Dota Pro Circuit 2021: Season 1 — China 1- Division
10001444,Snow Sweet Snow #2
10001436,Snow Sweet Snow #1
10001432,Moon Studio Kagura Championship
10001374,Huya Dota2 Winter Invitational
10001368,BTS Pro Series Season 4. America
10001362,OGA Dota PIT Season 4. Europe Cis
10001348,EPIC League Season 2 Division 1
10001363,OGA Dota PIT Season 4. China
10001355,China Dota2 Pro Cup Season 2
10001356,CDA-FDC Professional Championship Season 2
10001351,Motivation Cup
10001331,DOTA Summit 13. America
10001309,ESL One Germany 2020 — Online
10001336,CDA-FDC Professional Championship
10001322,OGA Dota PIT Season 3. China
10001300,China Dota2 Pro Cup Season 1
10001305,BTS Pro Series Season 3. Europe Cis
10001304,BTS Pro Series 3. Asia
10001303,OGA Dota PIT Season 3. Europe Cis
10001294,BTS Pro Series 3. America
10001299,Positive Staff Cup
10001259,OMEGA League Dota 2: Europe Immortal Division
10001257,ESL One Thailand 2020 — Online. Asia
10001258,ESL One Thailand 2020 — Online. America
10001252,OGA Dota PIT 2020 Season 2. Europe Cis
10001244,DPL-CDA Professional League Season 2
10001251,OGA Dota PIT 2020 Season 2. America
10001208,ONE Esports Dota 2 SEA League
10001245,OGA Dota PIT 2020 Season 2. China
10001188,Parimatch League Season 3
10001163,Arena of Blood Season 2
10001222,BTS Pro Series Season 2. America
10001224,BEYOND EPIC. Europe Cis
10001211,Vulkan Fight Series
10001229,OMG Summer Cup
10001218,BLAST Bounty Hunt
10001216,Epic Staff Battle
10001220,Huya World E-sports Legendary League
10001228,Dota 2 Showdown
10001199,ESL One Birmingham 2020 — Online. America
10001189,Global Infection Cup
10001134,China Dota2 Professional League Season 2
10001206,OMG Cup 3
10001187,Russian Esports Championship 2020
10001173,DPL-CDA Professional League Season 1
10001193,OGA Dota PIT 2020 Online. Europe Cis
10001185,Cyber.bet Cup: Spring Series. Europe
10001200,Gamers Without Borders 2020
10001092,Epic Prime League Season 1
10001184,Asia Spring Invitational
10001182,Isolation Cup
10001195,ESL One Birmingham 2020 — Online. Closed Qualifiers
10001132,WePlay! Pushka League Season 1 Division 1
10001177,OGA Dota PIT 2020 Online. China
10001190,ESL One Birmingham 2020 — Online. Open Qualifier
10001181,FVBet Showmatch
10001170,Home Camp
10001148,SECTOR DOTA 2 Season 2
10001156,BTS Pro Series — America
10001087,SIGUL Pro League
10001155,BTS Pro Series — Sea
10001154,Spring Championship
10001135,GGBET StayHome Challenge
10001127,ESL One Los Angeles 2020 — Online Championship. Europe Cis
10001124,Chinese DOTA2 Professional Association
10001111,ESL SEA Championship 2020
10001161,Gaming World
10001150,Hot Price League Season 3
10001043,Parimatch Dota 2 League Season 2
10001149,JJB Spring Cup Season 2
10000957,China Dota2 Professional League Season 1
10001119,WeSave! Charity Play
10001114,GGBET Championship 2
10001121,Asian Hero League S2
10001120,No Major No Problem
10000958,China Dota2 Development League Season 2
10001098,EGB Arena of Blood
10001115,ONE Esports Dota 2 Invitational Jakarta — Qualifiers Индонезия
10001105,Dota Summit 12
10001096,Maxline Winter Madness
10001052,StarLadder ImbaTV Dota 2 Minor Season 3
10001117,ONE Esports Dota 2 Invitational Jakarta — Qualifiers Куала-Лумпур
10001102,Elite Challenge S3
10000972,World Electronic Sports Games 2019 Russia
10000794,WePlay! Dota 2 Tug of War: Mad Moon
10001084,ESL One Los Angeles 2020. Closed Qualifier
10001083,ESL One Los Angeles 2020. Open Qualifier
10000992,DreamLeague Leipzig Major
10001035,Hot Price League
10001037,OMG.BET Cup 2
10000994,WePlay! Bukovel Minor 2020
10001024,Yabo Elite Challenge
10001017,Maincast Winter Brawl
10001019,Obao Elite Challenge
10001012,Rivalry Winter Blast
10000986,SECTOR: MOSTBET DOTA 2
10000971,ONE Esports Dota 2 World Pro Invitational Singapore
10000914,Parimatch League
10001014,Кубок России по киберспорту 2019
10000990,Kyivstar Autumn Cup
10001011,Yabo Supreme Cup
10001008,IeSF World Championship 2019
10001005,World Electronic Sports Games 2019. Finals Europe
10000985,GGBET Championship
10000942,MDL Chengdu Major
10000945,DOTA Summit 11
10000970,Hainan Master Cup
10000911,ESL One Hamburg 2019
10000967,IeSF World Championship 2019. Swedish Qualifiers
10000936,DreamLeague Season 12
10000951,VARENA DOTA2 Challenge Season 2
10000960,VKGAME Battle Of Dawn
10000953,OMG Cup
10000948,DOTA Summit 11. Closed Qualifiers
10000927,Midas Mode 2
10000925,Asia Communication League Season 2
10000901,WePlay! Reshuffle Madness 2019
10000908,GG.Bet Hamburg Invitational
10000635,The International 2019
10000869,LOOT.BET/DOTA
10000868,China Dota2 Development League
10000879,FaceCheck by GG.BET
10000471,DOTA Summit 10
10000854,World Cyber Games 2019
10000859,Jiabet Asian Masters League
10000761,EPICENTER Major 2019
10000853,ZBT Invitational
10000790,StarLadder ImbaTV Dota 2 Minor Season 2
10000848,FVBET Asian Masters League
10000806,Чемпионат России по киберспорту 2019
10000805,RedRain Cup Season 2
10000801,World Cyber Games 2019. Final Europe
10000714,ESL One Birmingham 2019
10000792,WePlay! Dota 2 Tug of War: Dire Asia
10000793,WePlay! Dota 2 Tug of War: Dire America
10000799,JBO Asian Masters League
10000797,Qi Invitational Europe
10000729,Adrenaline Cyber League 2019
10000706,MDL Disneyland® Paris Major
10000648,OGA Dota PIT Minor 2019
10000766,World Cyber Games 2019. European Qualifiers
10000747,World Cyber Games 2019. National Qualifiers
10000632,ESL One Mumbai 2019
10000684,joinDOTA League Season 15. Europe
10000705,Betway Asian Dota 2 League
10000728,World Showdown of Esports #6
10000741,OpenAI Five Finals
10000730,GG.Bet Birmingham Invitational
10000735,American Avengers Cup
10000727,Qi Invitational Americas
10000717,Cobx Masters 2019 Phase II
10000637,DreamLeague Major
10000704,VARENA DOTA2 League Season 1
10000691,BTS Spring Cup. America
10000688,BTS Spring Cup. Europe
10000681,Thunder Fire Spring League
10000687,BTS Spring Cup. Asia
10000651,joinDOTA League Season 15. Asia
10000649,StarLadder ImbaTV Dota 2 Minor
10000422,World Electronic Sports Games 2018
10000680,AutoChess Staff Cup
10000672,JJB Spring Cup
10000673,WePlay! Dota 2 Tug of War: Radiant
10000550,ESL One Katowice 2019
10000599,MDL Macau 2019
10000666,The Challenge Cup Season 2
10000667,Asia Pro League Season 2
10000650,X-Bet.co Rampage Series #4
10000665,Asia Pacific Predator League 2019
10000646,WePlay! Valentine Madness
10000526,The Chongqing Major
10000620,ANGGAME China vs SEA #3. Онлайн Final
10000631,joinDOTA Turbo Masters. Europe
10000622,QIWI Teamplay Season 3
10000625,The Challenge Cup
10000555,The Bucharest Minor
10000598,WePlay! Dota 2 Winter Madness
10000591,LOOT.BET Winter Masters
10000608,H-Cup Season 12
10000517,Dota2 Professional League Season 6
10000604,DreamHack Mumbai Invitational 2018
10000592,The China Hope Series #2
10000589,H-Cup Season 11
10000483,2018 Sanya DOTA2 New-Stars Play
10000600,Parimatch friends cup
10000481,joinDOTA League Season 14. Asia
10000573,MegaFon Champions League Season 2
10000575,I Can't Believe It's Not Summit!
10000551,Кубок России по киберспорту 2018
10000585,WESG 2018. Finals Sea
10000572,China Dota2 Winter Cup
10000484,joinDOTA League Season 14. Europe
10000523,MegaFon Winter Clash
10000571,AMD Dota 2 Pro Series 2018
10000552,World Electronic Sports Games 2018. North Europe Qualifier
10000525,H-Cup Season 10
10000520,MegaFon Champions League #1
10000421,The Kuala Lumpur Major
10000505,Gladiator Cup China Season 2
10000441,DreamLeague Season 10
10000513,Dota2 Professional League Season 6. Open Qualifiers
10000480,Flame Cup
10000474,Autumn Cup
10000445,ESL One Hamburg 2018
10000497,STARLUCK DOTA2 Challenge
10000460,Taurora Invitational #2
10000477,CryptØmasters Dota 2
