team_id,team_name
291965.0,REKONIX
291963.0,PlayTime
291961.0,REKONIX
291957.0,PlayTime
291959.0,1win Team
291955.0,L1ga Team
292857.0,Team BAXA
292545.0,ПУДЖ В КУСТАХ
292547.0,ПЛЯСКИ И ТАНЦЫ
292241.0,Vici Gaming
292243.0,Vici Gaming
292245.0,Yakult Brothers
292239.0,Team Resilience
292247.0,Roar Gaming
292249.0,Cloud Dawning
291567.0,Team Refuser
291563.0,Team Resilience
291561.0,Yakult Brothers
291565.0,Mideng Dreamer
291559.0,Team Resilience
291557.0,Cloud Dawning
291553.0,Roar Gaming
291555.0,Mideng Dreamer
291359.0,South America Rejects
291357.0,South America Rejects
291355.0,South America Rejects
291361.0,1win Team
291353.0,South America Rejects
291351.0,L1ga Team
291349.0,South America Rejects
291347.0,L1ga Team
291365.0,1win Team
291363.0,Zero Tenacity
291345.0,ALIS VENTORUS
291343.0,Team Lynx
291341.0,L1ga Team
291339.0,MODUS
291333.0,Nemiga Gaming
291335.0,Power Rangers
291337.0,1win Team
291331.0,Breeki Cheeki
291135.0,L1ga Team
291137.0,BTC Gaming
291139.0,Power Rangers
291133.0,Breeki Cheeki
291127.0,1win Team
291131.0,Team Lynx
291129.0,Nemiga Gaming
291125.0,Ivory
291123.0,ALIS VENTORUS
291119.0,South America Rejects
291121.0,L1ga Team
291117.0,ALIS VENTORUS
291113.0,L1ga Team
291115.0,Breeki Cheeki
291109.0,Rune Eaters
291107.0,MODUS
291111.0,Nemiga Gaming
291103.0,Team Lynx
291101.0,Nemiga Gaming
291105.0,MODUS
291223.0,ALIS VENTORUS
291225.0,Breeki Cheeki
291221.0,L1ga Team
291217.0,South America Rejects
291219.0,Breeki Cheeki
291215.0,L1ga Team
291213.0,Nemiga Gaming
291211.0,MODUS
291209.0,Team Lynx
291205.0,Rune Eaters
291203.0,Nemiga Gaming
291207.0,Team Lynx
291097.0,BTC Gaming
291095.0,Power Rangers
291099.0,Estar Backs
291091.0,Zero Tenacity
